1901, 1, 869, 130, 999, 149.85, F, 0, 1148.85, 1, 2023-08-01, 1001
1902, 2, 1520.75, 172, 1692.75, 253.9125, D, 86, 232.5828125, 8, 2023-09-01, 1002
1903, 2, 1520.75, 0, 1520.75, 228.1125, F, 0, 1748.8625, 1, 2023-11-01, 1003
1904, 1, 869, 0, 869, 130.35, F, 0, 999.35, 1, 2024-01-01, 1004
1905, 1, 869, 130, 999, 149.85, M, 0, 143.60625, 8, 2024-02-01, 1005
1906, 1, 869, 86, 955, 143.25, D, 86, 126.53125, 8, 2024-03-01, 1006
1907, 1, 869, 130, 999, 149.85, F, 0, 1148.85, 1, 2024-04-01, 1007
1908, 1, 869, 86, 955, 143.25, D, 86, 126.53125, 8, 2024-05-01, 1008
1909, 3, 2172.5, 258, 2430.5, 364.575, F, 0, 2795.075, 1, 2024-06-01, 1009
1910, 1, 869, 0, 869, 130.35, F, 0, 999.35, 1, 2024-07-01, 1010
1911, 1, 869, 130, 999, 149.85, M, 0, 143.60625, 8, 2023-07-01, 1011
1912, 1, 869, 86, 955, 143.25, D, 86, 126.53125, 8, 2023-06-01, 1012
1913, 1, 869, 216, 1085, 162.75, F, 0, 1247.75, 1, 2023-05-01, 1013
1914, 1, 869, 0, 869, 130.35, F, 0, 999.35, 1, 2023-04-01, 1014
1915, 1, 869, 130, 999, 149.85, D, 130, 127.35625, 8, 2023-03-01, 1015
1916, 1, 869, 86, 955, 143.25, D, 86, 126.53125, 8, 2023-02-01, 1016
1917, 1, 869, 130, 999, 149.85, F, 0, 1148.85, 1, 2023-01-01, 1017
1918, 3, 2172.5, 258, 2430.5, 364.575, M, 0, 349.384375, 8, 2023-11-01, 1018
1919, 1, 869, 216, 1085, 162.75, F, 0, 1247.75, 1, 2023-08-01, 1019
1920, 1, 869, 0, 869, 130.35, F, 0, 999.35, 1, 2023-09-01, 1020
1921, 1, 869, 130, 999, 149.85, D, 130, 127.35625, 8, 2023-10-01, 1021
1922, 1, 869, 86, 955, 143.25, D, 86, 126.53125, 8, 2024-03-01, 1022
1923, 1, 869, 216, 1085, 162.75, F, 0, 1247.75, 1, 2024-04-01, 1023
1924, 1, 869, 0, 869, 130.35, F, 0, 999.35, 1, 2024-05-01, 1024
1925, 1, 869, 130, 999, 149.85, D, 130, 127.35625, 8, 2024-03-01, 1025
1926, 1, 869, 86, 955, 143.25, D, 86, 126.53125, 8, 2024-04-01, 1026
1927, 1, 869, 216, 1085, 162.75, F, 0, 1247.75, 1, 2024-05-01, 1027
1928, 1, 869, 0, 869, 130.35, F, 0, 999.35, 1, 2023-05-01, 1028
1929, 1, 869, 130, 999, 149.85, M, 0, 143.60625, 8, 2024-01-15, 1029
1930, 1, 869, 86, 955, 143.25, M, 0, 137.28125, 8, 2023-10-01, 1030
1944, 1, 869.0, 274.0, 171.45, F, 0.0, 1143.0, 1, 2024-08-01, 1001
