CLAIM1001, 2023-08-01, 1500.75, 1901, 1001
CLAIM1002, 2023-10-01, 2750.50, 1901, 1001
CLAIM1003, 2024-02-01, 1200.00, 1901, 1001
CLAIM1004, 2023-09-01, 1800.25, 1924, 1024
CLAIM1005, 2024-01-01, 1600.80, 1924, 1024
CLAIM1006, 2023-07-01, 2100.90, 1924, 1024
CLAIM1007, 2023-12-01, 1100.50, 1912, 1012
CLAIM1008, 2023-11-01, 900.00, 1929, 1029
CLAIM1009, 2024-03-01, 1250.30, 1914, 1014
CLAIM1010, 2023-06-01, 1400.20, 1904, 1004
CLAIM1011, 2023-10-01, 1600.80, 1904, 1004
CLAIM1012, 2023-05-01, 1150.75, 1920, 1020
CLAIM1013, 2023-09-01, 1300.45, 1920, 1020
CLAIM1014, 2023-07-01, 1050.50, 1918, 1018
CLAIM1015, 2024-01-01, 1250.60, 1918, 1018
